name,date,temp,prcp,wdsp
LUBLIN,2021-07-08,25,0.0,6.5
OLSZTYN,2021-06-18,24,0.0,4.5
ZIELONA GORA,2021-10-04,15,0.0,5.2
ZIELONA GORA,2021-03-03,8,0.0,5.3
GORZOW WLKP,2021-07-20,19,0.0,4.9
BIALYSTOK,2021-06-04,17,0.0,1.6
SZCZECIN,2021-12-17,4,0.0,10.2
GDANSK,2021-02-27,4,0.0,8.8
ZIELONA GORA,2021-12-25,-6,0.24,2.8
BIALYSTOK,2021-11-10,2,0.0,4.1
KATOWICE,2021-05-20,11,0.02,7.2
LUBLIN,2021-01-22,5,0.0,9.7
LUBLIN,2021-06-28,21,0.0,5.6
LUBLIN,2021-11-25,4,0.0,7
KIELCE,2021-12-04,-2,0.0,4.5
OLSZTYN,2021-03-02,2,0.0,6.6
GORZOW WLKP,2021-07-30,20,0.0,5.8
BIALYSTOK,2021-02-25,6,0.0,3.6
BIALYSTOK,2021-11-09,0,0.04,3.2
KATOWICE,2021-09-28,12,0.0,5.8
GDANSK,2021-09-19,12,0.0,10.3
GDANSK,2021-10-01,10,0.0,7.9
OLSZTYN,2021-05-31,13,0.0,4.5
ZIELONA GORA,2021-05-26,10,0.02,5.7
ZIELONA GORA,2021-10-16,8,0.07,3.9
BIALYSTOK,2021-10-30,10,0.0,4.8
KATOWICE,2021-06-28,20,0.0,2.9
GDANSK,2021-05-09,11,0.0,11.4
GDANSK,2021-05-12,20,0.0,12.3
GDANSK,2021-05-13,15,0.0,6.3
LUBLIN,2021-03-24,3,0.0,3.3
LUBLIN,2021-07-13,26,0.0,5.5
LUBLIN,2021-07-14,28,0.0,4.3
ZIELONA GORA,2021-08-21,19,0.06,3.5
SZCZECIN,2021-07-19,17,0.0,6.3
SZCZECIN,2021-11-04,6,0.0,5.8
KATOWICE,2021-08-21,17,0.0,3.5
KIELCE,2021-01-28,-2,2.36,4.4
GORZOW WLKP,2021-02-06,-4,0.0,8.5
BIALYSTOK,2021-05-15,13,0.0,3.8
SZCZECIN,2021-04-14,3,0.0,6.4
SZCZECIN,2021-04-18,8,0.0,4.6
SZCZECIN,2021-08-27,13,0.15,3.4
KATOWICE,2021-09-30,11,0.05,3.5
GDANSK,2021-06-19,25,0.0,7.4
OPOLE,2021-01-22,8,0.0,9.7
OPOLE,2021-12-02,5,0.02,5.8
KIELCE,2021-03-04,4,,5
GORZOW WLKP,2021-12-29,1,0.08,3
BIALYSTOK,2021-02-15,-4,0.02,3.5
SZCZECIN,2021-09-05,15,0.0,7.9
GDANSK,2021-02-14,0,0.0,11.8
LUBLIN,2021-03-16,4,0.0,5.6
LUBLIN,2021-05-24,15,0.0,5.2
OPOLE,2021-07-17,24,0.0,2.5
KIELCE,2021-09-13,17,0.01,1.9
ZIELONA GORA,2021-01-06,0,0.22,3.2
ZIELONA GORA,2021-06-01,17,0.0,4.7
SZCZECIN,2021-01-09,0,0.03,3.6
SZCZECIN,2021-03-24,6,0.0,4.2
KATOWICE,2021-09-14,15,0.0,2.7
GDANSK,2021-05-20,11,0.0,6.8
OLSZTYN,2021-01-21,3,0.09,7.3
OLSZTYN,2021-03-15,2,0.09,3.4
OLSZTYN,2021-05-30,13,0.0,7.1
OLSZTYN,2021-07-22,18,0.0,3.6
ZIELONA GORA,2021-06-19,27,0.0,4.5
ZIELONA GORA,2021-11-03,7,0.17,3.8
GORZOW WLKP,2021-06-02,17,0.0,5.5
GORZOW WLKP,2021-11-12,7,0.0,4.2
SZCZECIN,2021-06-23,18,0.0,4.6
KATOWICE,2021-10-08,7,0.0,8.3
GDANSK,2021-12-29,-2,0.0,10.1
OPOLE,2021-09-28,14,0.0,2.8
KIELCE,2021-01-10,-1,0.01,2.8
OLSZTYN,2021-02-27,3,0.0,9.6
OLSZTYN,2021-03-23,4,0.0,7.1
OLSZTYN,2021-11-10,4,0.0,4.5
ZIELONA GORA,2021-11-12,5,0.0,4.9
GDANSK,2021-10-04,14,0.0,6.5
LUBLIN,2021-10-04,13,0.0,6.5
KIELCE,2021-06-11,16,0.0,2.5
GORZOW WLKP,2021-08-24,16,0.19,6.3
